,Algorithm,Package,Bioconductor,CRAN,Vignette,Vignette with different examples of different technologies,R,Python,C++,Centroid-based,Hierarchical,Density-based,Distribution-based,Unsupervised ML,Supervised ML,GNN,AE,Ensemble model,Domain,Cell type,Unclear,Nearest neighbour assumption (explicit),Number of cell types / domains are known (explicit),Spatially-transformed expression matrix,Low dimension with spatial embedding,Accessible,Raw,Normalised,Transcript count,Low-resolution spot,High-resolution spot,Cellular,Segmentation-free subcellular,Inherent multisample clustering,Joint clustering,Visium human DLPFC (Maynard et al),MERFISH mouse hypothalamus (Mofitt et al),STARmap mouse mPFC (Wang et al),Other datasets used,Spot-based low resolution,Spot-based high resolution,Imaging-based,scRNA-seq,Fluorescence image,Histology image,For <10k cells,For upto 100k cells,For upto 1m cells,For >1 m cells,Unclear,GPU,Segmentation error,Spot swapping,Sparsity,Batch effects,Resolution,Rare cell type detection,Augmented input matrix,Joint low dimension,Tailored,2D,3D,Neighbourhood graph,Spatiotemporal,Nearest neighbour assumption,Adjusted Rand Index (ARI),Normalised Mutual Information (NMI),Adjusted Mutual Information (AMI),Average silhouette width (ASW) / Silhouette coefficient,Moran's I,Geary's C,Davies-Bouldin (DB) index,Calinski-Harabasz (CH) Index,Clustering Homogeneity Across Overlapping Subsets (CHAOS),Homogeneity (HOM),Completeness (COM),Proportion of Ambiguous Spots (PAS),Cell Stability Score (CSS),Spatial Coherence Score (SCS),Realistic,Unrealistic,Simulation included,Scalability assessment,Accuracy assessment,Stress testing,Parameter testing,Source,Correct_Terms,Correct_Percent,Method
2,GRAPHST,False,True,True,True,False,False,False,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,False,False,True,True,False,True,True,True,False,False,True,False,False,46,52.27272727272727,gpt_out
3,SEDR,False,True,True,True,True,False,False,True,True,False,True,True,True,True,False,False,True,True,True,True,True,False,False,False,False,True,True,True,True,False,True,True,False,False,True,True,True,False,True,False,False,True,True,True,True,False,False,False,True,False,True,True,True,False,True,False,False,False,True,True,True,False,True,True,True,False,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,54,61.36363636363637,gpt_out
4,SPACEFLOW,False,True,True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,True,False,False,True,True,False,True,True,True,False,True,False,False,True,True,True,True,False,False,False,False,False,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,True,False,True,True,True,False,False,True,True,False,47,53.40909090909091,gpt_out
5,SPAGCN,False,True,True,True,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,True,True,False,True,True,False,False,False,True,True,True,False,True,True,True,False,False,False,False,True,False,False,True,False,False,True,True,False,True,True,True,False,False,True,False,False,47,53.40909090909091,gpt_out
6,SPATIALPCA,False,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,False,True,True,False,True,False,True,False,True,False,False,True,True,True,True,True,False,False,False,True,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,False,55,62.5,gpt_out
7,STAGATE,False,True,True,True,False,False,False,True,True,True,True,True,False,True,False,False,False,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False,True,False,False,True,True,False,True,True,False,True,True,False,True,False,True,False,False,48,54.54545454545455,gpt_out
0,BASS,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,False,True,True,True,True,False,False,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,False,True,False,False,False,56,63.63636363636363,search_out
1,DEEPST,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,True,True,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,65,73.86363636363636,search_out
2,GRAPHST,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,True,False,True,True,False,False,True,True,True,True,True,True,False,False,True,True,False,True,True,False,False,True,True,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,59,67.04545454545455,search_out
3,SEDR,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,True,True,False,67,76.13636363636364,search_out
4,SPACEFLOW,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,62,70.45454545454545,search_out
5,SPAGCN,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,67,76.13636363636364,search_out
6,SPATIALPCA,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,False,False,True,True,True,False,65,73.86363636363636,search_out
7,STAGATE,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,False,True,True,True,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,False,False,63,71.5909090909091,search_out
0,BASS,False,True,True,True,False,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,False,True,False,False,False,61,69.31818181818181,pdf_out
1,DEEPST,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,68,77.27272727272727,pdf_out
2,GRAPHST,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,False,True,False,False,False,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False,True,True,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,63,71.5909090909091,pdf_out
3,SEDR,False,True,True,False,False,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,False,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,True,False,False,64,72.72727272727273,pdf_out
4,SPACEFLOW,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,66,75.0,pdf_out
5,SPAGCN,False,True,True,False,False,True,False,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,64,72.72727272727273,pdf_out
6,SPATIALPCA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False,70,79.54545454545455,pdf_out
7,STAGATE,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,False,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,False,True,True,False,True,False,False,False,False,True,True,True,True,True,False,True,True,False,False,True,True,True,True,True,True,False,True,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,60,68.18181818181819,pdf_out
