,Algorithm,Package,Bioconductor,CRAN,Vignette,Vignette with different examples of different technologies,R,Python,C++,Centroid-based,Hierarchical,Density-based,Distribution-based,Unsupervised ML,Supervised ML,GNN,AE,Ensemble model,Domain,Cell type,Unclear,Nearest neighbour assumption (explicit),Number of cell types / domains are known (explicit),Spatially-transformed expression matrix,Low dimension with spatial embedding,Accessible,Raw,Normalised,Transcript count,Low-resolution spot,High-resolution spot,Cellular,Segmentation-free subcellular,Inherent multisample clustering,Joint clustering,Visium human DLPFC (Maynard et al),MERFISH mouse hypothalamus (Mofitt et al),STARmap mouse mPFC (Wang et al),Other datasets used,Spot-based low resolution,Spot-based high resolution,Imaging-based,scRNA-seq,Fluorescence image,Histology image,For <10k cells,For upto 100k cells,For upto 1m cells,For >1 m cells,Unclear,GPU,Segmentation error,Spot swapping,Sparsity,Batch effects,Resolution,Rare cell type detection,Augmented input matrix,Joint low dimension,Tailored,2D,3D,Neighbourhood graph,Spatiotemporal,Nearest neighbour assumption,Adjusted Rand Index (ARI),Normalised Mutual Information (NMI),Adjusted Mutual Information (AMI),Average silhouette width (ASW) / Silhouette coefficient,Moran's I,Geary's C,Davies-Bouldin (DB) index,Calinski-Harabasz (CH) Index,Clustering Homogeneity Across Overlapping Subsets (CHAOS),Homogeneity (HOM),Completeness (COM),Proportion of Ambiguous Spots (PAS),Cell Stability Score (CSS),Spatial Coherence Score (SCS),Realistic,Unrealistic,Simulation included,Scalability assessment,Accuracy assessment,Stress testing,Parameter testing,Source,Correct_Terms,Correct_Percent,Method
10,SPATIALANNO,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,71,80.68181818181819,agent_out
11,SPATIALPCA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,False,True,False,62,70.45454545454545,agent_out
12,STAGATE,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,62,70.45454545454545,agent_out
13,STKEEP,True,True,True,True,False,False,True,True,True,False,True,True,False,False,True,True,False,True,False,True,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,True,True,False,False,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,57,64.77272727272727,agent_out
14,STSME,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,65,73.86363636363636,agent_out
0,BASS,False,True,True,False,True,False,False,False,True,False,True,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,True,False,False,True,False,False,False,True,False,False,True,True,True,True,False,False,True,True,False,True,True,False,False,False,True,False,False,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,42,47.72727272727273,gpt_out
1,DEEPST,False,True,True,False,False,True,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,False,True,False,False,True,False,True,False,True,True,False,True,True,False,True,False,False,False,False,True,True,True,False,True,False,False,True,True,True,True,False,False,True,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,45,51.13636363636363,gpt_out
2,GRAPHPCA,False,True,True,False,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,True,True,True,True,False,True,True,True,False,False,True,True,False,True,True,True,True,False,False,False,True,False,True,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,True,True,False,False,False,50,56.81818181818182,gpt_out
3,GRAPHST,False,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,True,True,False,True,True,True,True,False,False,False,False,True,True,True,False,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,True,True,False,True,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,44,50.0,gpt_out
4,MULTILAYER,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,True,True,False,False,True,True,False,True,False,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,42,47.72727272727273,gpt_out
5,NICHEPCA,False,True,True,False,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,41,46.59090909090909,gpt_out
6,SEDR,False,True,True,False,True,False,False,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,False,False,False,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,True,True,True,False,True,True,False,False,False,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,49,55.68181818181818,gpt_out
7,SPACEFLOW,False,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,False,False,False,True,True,True,False,True,True,False,True,True,True,False,True,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,False,True,False,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,45,51.13636363636363,gpt_out
8,SPAGCN,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,45,51.13636363636363,gpt_out
9,SPARTACO,False,True,True,False,True,False,False,True,True,True,True,False,True,True,False,True,True,True,False,True,False,True,False,False,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,False,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,40,45.45454545454545,gpt_out
10,SPATIALANNO,False,True,True,False,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,True,False,False,False,46,52.27272727272727,gpt_out
11,SPATIALPCA,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,True,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,False,True,False,53,60.22727272727273,gpt_out
12,STAGATE,False,True,True,False,False,False,False,True,True,True,True,True,True,True,False,False,False,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,True,False,False,False,False,46,52.27272727272727,gpt_out
13,STKEEP,False,True,True,False,True,True,False,True,True,False,False,True,False,False,True,True,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,False,39,44.31818181818182,gpt_out
14,STSME,False,True,True,False,True,False,False,True,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,False,False,False,True,True,True,True,False,False,True,False,True,True,True,False,True,True,False,True,True,True,False,False,False,False,True,False,True,True,True,False,False,False,True,True,True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,44,50.0,gpt_out
0,BASS,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,False,True,True,True,False,False,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,False,True,False,False,False,57,64.77272727272727,search_out
1,DEEPST,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,False,True,True,True,True,True,False,True,False,True,True,False,True,True,True,False,True,False,True,False,False,False,False,False,True,True,True,False,True,True,False,False,True,True,True,True,True,False,True,False,False,True,False,False,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,False,58,65.9090909090909,search_out
2,GRAPHPCA,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,False,False,False,True,True,False,False,True,True,True,False,True,False,False,False,True,True,False,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,62,70.45454545454545,search_out
3,GRAPHST,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,True,False,True,True,False,False,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,53,60.22727272727273,search_out
4,MULTILAYER,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,False,True,True,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,51,57.95454545454545,search_out
5,NICHEPCA,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,False,False,False,True,False,True,True,True,True,True,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True,False,False,False,False,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,False,True,False,False,55,62.5,search_out
6,SEDR,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,False,False,False,True,False,False,True,True,True,True,True,False,True,False,False,True,False,60,68.18181818181819,search_out
7,SPACEFLOW,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,False,False,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,True,False,56,63.63636363636363,search_out
8,SPAGCN,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,59,67.04545454545455,search_out
9,SPARTACO,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,True,False,66,75.0,search_out
10,SPATIALANNO,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,67,76.13636363636364,search_out
11,SPATIALPCA,True,True,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,False,True,True,True,True,True,True,True,False,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False,62,70.45454545454545,search_out
12,STAGATE,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,False,True,True,True,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,False,False,False,False,57,64.77272727272727,search_out
13,STKEEP,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,True,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,True,False,False,True,True,False,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,52,59.09090909090909,search_out
14,STSME,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.0,search_out
0,BASS,True,True,True,True,False,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,False,True,False,False,False,62,70.45454545454545,pdf_out
1,DEEPST,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,73,82.95454545454545,pdf_out
2,GRAPHPCA,True,True,True,True,True,False,False,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,False,True,True,False,False,True,False,False,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,64,72.72727272727273,pdf_out
3,GRAPHST,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,False,True,True,False,False,True,True,True,True,True,True,False,False,True,True,False,True,True,False,False,True,True,False,True,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,65,73.86363636363636,pdf_out
4,MULTILAYER,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,False,64,72.72727272727273,pdf_out
5,NICHEPCA,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,63,71.5909090909091,pdf_out
6,SEDR,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,False,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,False,True,False,False,True,False,64,72.72727272727273,pdf_out
7,SPACEFLOW,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,66,75.0,pdf_out
8,SPAGCN,True,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,65,73.86363636363636,pdf_out
9,SPARTACO,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,True,True,False,True,False,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,False,66,75.0,pdf_out
10,SPATIALANNO,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,72,81.81818181818181,pdf_out
11,SPATIALPCA,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False,68,77.27272727272727,pdf_out
12,STAGATE,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,True,False,True,True,False,True,True,False,True,False,False,False,False,True,True,True,False,True,False,False,True,False,False,True,True,True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,59,67.04545454545455,pdf_out
13,STKEEP,True,True,True,True,False,True,False,True,True,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,False,True,False,True,True,False,True,False,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,48,54.54545454545455,pdf_out
14,STSME,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,59,67.04545454545455,pdf_out
