Method,Assigned to,Publication,,,,Availability,,,,Instructions,,Programming language,,,Clustering method categorisation*,,,,,,,,,,Clustering level,,,,Method assumption*,,,Assumption description,Context-aware representation,,,,Input data type,,Dataset resolution,,,,Multisample analysis,Specific datasets applied to*,,Technology types,,,Reference inclusion,,,Scalability (as shown by authors),,,,Overcoming limitations,,,,,,When is spatial information added?,,,What is the nature of spatial information that it can work with?,,,,How is domain/cell type clustering performed?*,What metrics are used in the paper?,,,,,,,,,,,,,,Does the reader the the assumptions are realistic?,,,What level of simulations have been used?,,,
DeepST,,https://academic.oup.com/nar/article/50/22/e131/6761985,Nucleic Acids Research,2022,81,https://github.com/JiangBioLab/DeepST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialPCA,,https://www.nature.com/articles/s41467-022-34879-1,Nature Communications,2022,68,https://github.com/shangll123/SpatialPCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpaceFlow,,https://www.nature.com/articles/s41467-022-31739-w,Nature Communications,2022,61,https://github.com/hongleir/SpaceFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEDR,,https://link.springer.com/article/10.1186/s13073-024-01283-x,Genome Medicine,2024,53,https://github.com/JinmiaoChenLab/SEDR/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUSE,,https://www.nature.com/articles/s41587-022-01251-z,Nature Biotechnology,2022,48,https://github.com/AltschulerWu-Lab/MUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-MEB,,https://academic.oup.com/bib/article/23/1/bbab466/6440124?login=true,Briefings in Bioinformatics,2022,47,https://github.com/Shufeyangyi2015310117/SC.MEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR-SC,,https://academic.oup.com/nar/article/50/12/e72/6555431,Nucleic Acids Research,2022,36,https://github.com/feiyoung/DR.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECAST,,https://www.nature.com/articles/s41467-023-35947-w,Nature Communications,2023,34,https://github.com/feiyoung/PRECAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICT,,https://academic.oup.com/bioinformatics/article/38/4/997/6384569,Bioinformatics,2021,28,https://github.com/haotianteng/FICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stMVC,,https://www.nature.com/articles/s41467-022-33619-9,Nature Communications,2022,27,https://github.com/cmzuo11/stMVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksy,,https://www.nature.com/articles/s41588-024-01664-3,Nature Genetics,2024,26,https://github.com/prabhakarlab/Banksy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MULTILAYER,,https://www.cell.com/action/showPdf?pii=S2405-4712%2821%2900151-4,Cell Systems,2021,23,https://github.com/SysFate/MULTILAYER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESEPT,,https://www.sciencedirect.com/science/article/pii/S2001037022003646,Computational and Structural Biotechnology Journal,2022,23,https://github.com/OSU-BMBL/RESEPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOTIP,,https://www.nature.com/articles/s41467-022-34867-5,Nature Communications,2022,21,https://github.com/TencentAILabHealthcare/SOTIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGNNks,,https://www.sciencedirect.com/science/article/pii/S0010482523009058,Computers in Biology and Medicine,2023,19,https://github.com/plhhnu/STGNNks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial-MGCN,,https://academic.oup.com/bib/article/24/5/bbad262/7225995,Briefings in Bioinformatics,2023,13,https://github.com/cs-wangbo/Spatial-MGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STMGCN,,https://academic.oup.com/bib/article/24/5/bbad278/7237944?login=true,Briefings in Bioinformatics,2023,13,https://github.com/sxj204/stmgcn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPACEL,,https://www.nature.com/articles/s41467-023-43220-3,Nature Communications,2023,12,https://github.com/QuKunLab/SPACEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STitch3D,,https://www.nature.com/articles/s42256-023-00734-1,Nature Machine Intelligence,2023,12,https://github.com/YangLabHKUST/STitch3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MENDER,,https://www.nature.com/articles/s41467-023-44367-9,Nature Communications,2024,10,https://github.com/yuanzhiyuan/MENDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIST,,https://academic.oup.com/gpb/article/20/5/974/7230447?login=false,"Genomics, Proteomics and Bioinformatics",2022,10,https://github.com/ShanYiran/TIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vesalius,,https://www.embopress.org/doi/full/10.15252/msb.202211080,Molecular Systems Biology,2022,10,https://github.com/WonLab-CS/Vesalius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADEPT,,https://www.sciencedirect.com/science/article/pii/S2589004223008696?via%3Dihub,iScience,2023,8,https://github.com/maiziezhoulab/ADEPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPCS,,https://academic.oup.com/bib/article/23/3/bbac116/6563417?login=true,Briefings in Bioinformatics,2022,8,https://github.com/Usos/SPCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NeST,,https://www.nature.com/articles/s41467-023-42343-x,Nature Communications,2023,6,https://github.com/bwalker1/NeST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCGDL,,https://academic.oup.com/bib/article/24/3/bbad146/7130976?login=false,Briefings in Bioinformatics,2023,6,https://github.com/narutoten520/SCGDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialGlue,,https://www.nature.com/articles/s41592-024-02316-4,Nature Methods,2024,6,https://github.com/JinmiaoChenLab/SpatialGlue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stardust,,https://academic.oup.com/gigascience/article/doi/10.1093/gigascience/giac075/6659721?login=false,GigaScience,2022,6,https://github.com/InfOmics/stardust/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEEL,,https://academic.oup.com/bib/article/24/2/bbad068/7066346?login=false,Briefings in Bioinformatics,2023,6,https://sourceforge.net/projects/steel-st/files/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TransformerST,,https://academic.oup.com/bib/article/25/2/bbae052/7618072?login=false,Briefings in Bioinformatics,2024,5,https://github.com/Zhaocy-Research/TransformerST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE-GCN,,https://pmc.ncbi.nlm.nih.gov/articles/PMC10248005/,Frontiers in Genetics,2023,4,https://github.com/zccqq/AE-GCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRIS,,https://www.nature.com/articles/s41592-024-02284-9,Nature Methods,2024,3,https://github.com/YingMa0107/IRIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NichePCA,,https://academic.oup.com/bioinformatics/advance-article/doi/10.1093/bioinformatics/btaf005/7945104?login=true,Bioinformatics,2025,3,https://github.com/imsb-uke/nichepca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpaDo,,https://link.springer.com/article/10.1186/s13059-024-03213-x,Genome Biology,2024,3,https://github.com/bm2-lab/SpaDo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stAA,,https://academic.oup.com/bib/article/25/1/bbad500/7512648,Briefings in Bioinformatics,2024,3,https://github.com/CSUBioGroup/stAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stCluster,,https://academic.oup.com/bib/article/25/4/bbae329/7709092?login=true,Briefings in Bioinformatics,2024,3,https://github.com/hannshu/stCluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAGS,,https://academic.oup.com/gigascience/article/doi/10.1093/gigascience/giad097/7610494?login=true,GigaScience,2024,2,https://github.com/STOmics/EAGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PearlST,,https://spj.science.org/doi/full/10.34133/research.0390,Research,2024,2,https://github.com/SunXQlab/PearlST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpaRTaCo,,https://pmc.ncbi.nlm.nih.gov/articles/PMC10552783/,Annals of Applied Statistics,2023,2,https://github.com/andreasottosanti/spartaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De-spot,,https://www.cell.com/cell-reports-methods/fulltext/S2667-2375(24)00214-5,Cell Reports Methods,2024,1,https://github.com/lyotvincent/Despot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVST,,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1012409,PLOS Computational Biology,2024,1,https://github.com/dw666666/MVST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Points2Regions,,https://onlinelibrary.wiley.com/doi/full/10.1002/cyto.a.24884,Cytometry,2024,1,https://github.com/wahlby-lab/Points2Regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECE,,https://www.mdpi.com/2218-273X/14/6/674,Biomolecules,2024,1,https://github.com/yuyuanyuana/SECE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGAE,,https://academic.oup.com/gigascience/article/doi/10.1093/gigascience/giae003/7610489,GigaScience,2024,1,https://github.com/STOmics/SGAE/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialAnno,,https://academic.oup.com/nar/article/51/22/e115/7370069?login=true,Nucleic Acids Research,2023,1,https://github.com/Shufeyangyi2015310117/SpatialAnno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialPrompt,,https://www.nature.com/articles/s42003-024-06349-5,Communications Biology,2024,1,https://github.com/swainasish/SpatialPrompt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stKEEP,,https://www.nature.com/articles/s41467-024-49171-7,Nature Communications,2024,1,https://github.com/cmzuo11/stKeep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stMMR,,https://academic.oup.com/gigascience/article/doi/10.1093/gigascience/giae089/7912109?login=false,GigaScience,2024,1,https://github.com/nayu0419/stMMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGSIST,,https://www.sciencedirect.com/science/article/pii/S1046202324002196,Methods,2024,0,available on demand?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EnSDD,,https://www.nature.com/articles/s42003-024-07001-y,Communications Biology,2024,0,https://github.com/keyalone/EnSDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GraphPCA,,https://link.springer.com/article/10.1186/s13059-024-03429-x,Genome Biology,2024,0,https://github.com/YANG-ERA/GraphPCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAS4T,,https://www.sciencedirect.com/science/article/pii/S2001037024003490,Computational and Structural Biotechnology Journal,2024,0,https://github.com/Lab-Xu/GRAS4T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HyperGCN,,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-10469-x,BMC Genomics,2024,0,https://github.com/chonghua-1983/HyperGCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iSC.MEB,,https://academic.oup.com/bioinformaticsadvances/article/3/1/vbad019/7043976,Bioinformatics Advances,2023,0,https://github.com/XiaoZhangryy/iSC.MEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCGP,,https://www.cell.com/cell-reports-methods/fulltext/S2667-2375(24)00211-X,Cell Reports Methods,2024,0,https://gitlab.com/enable-medicine-public/scgp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPACE,,https://www.cell.com/cell-systems/fulltext/S2405-4712(24)00124-8,Cell Systems,2024,0,https://github.com/zhangqf-lab/SPACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpaGIC,,https://academic.oup.com/bib/article/25/6/bbae578/7900219?login=true,Briefings in Bioinformatics,2024,0,https://github.com/liuwei-cs/SpaGIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpaInGNN,,https://www.sciencedirect.com/science/article/pii/S1046202324002433,Methods,2025,0,available on demand?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spall,,https://link.springer.com/article/10.1186/s12859-024-06003-1,BMC Bioinformatics,2024,0,https://github.com/znjiang1/Spall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpatialCVGAE,,https://link.springer.com/article/10.1007/s12539-024-00676-1,Interdisciplinary Sciences - Computational Life Sciences,2024,0,https://github.com/wenwenmin/SpatialCVGAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR-DGN,,https://link.springer.com/article/10.1186/s12864-024-11072-w,BMC Genomics,2024,0,https://github.com/zhangdaoliang/SR-DGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAGUE,,https://advanced.onlinelibrary.wiley.com/doi/full/10.1002/advs.202403572,Advanced Science,2024,0,Could not find.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STew,,https://academic.oup.com/bioinformaticsadvances/article/4/1/vbae064/7684964?login=true,Bioinformatics Advances,2024,0,https://github.com/fanzhanglab/STew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STMGraph,,https://academic.oup.com/bib/article/26/1/bbae685/7943385,Briefings in Bioinformatics,2025,0,https://github.com/binbin-coder/STMGraph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STMSGAL,,https://academic.oup.com/gigascience/article/doi/10.1093/gigascience/giae103/7953196?login=true,GigaScience,2025,0,https://github.com/plhhnu/STMSGAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STMVGAE,,https://www.sciencedirect.com/science/article/pii/S2001037024004124,Computational and Structural Biotechnology Journal,2024,0,https://github.com/wenwenmin/STMVGAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST-SCSR,,https://academic.oup.com/bib/article/25/5/bbae437/7748886,Briefings in Bioinformatics,2024,0,https://github.com/xkmaxidian/ST-SCSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
